47	0.42	64	0.58
57	0.2	94	0.8
23	0.44	31	0.56
68	0.95	95	0.05
7	0.43	97	0.57
55	0.71	63	0.29
13	0.76	90	0.24
56	0.98	8	0.02
67	0.39	63	0.61
6	0.6	45	0.4
44	0.15	29	0.85
43	0.63	53	0.37
39	0.32	56	0.68
15	0.79	29	0.21
92	0.98	19	0.02
53	0.29	91	0.71
16	0.84	91	0.16
100	0.35	50	0.65
37	0.64	65	0.36
77	0.48	6	0.52
9	0.21	31	0.79
100	0.85	2	0.15
26	0.14	96	0.86
37	0.41	24	0.59
64	0.94	14	0.06
77	0.1	2	0.9
77	0.2	2	0.8
77	0.3	2	0.7
77	0.4	2	0.6
77	0.5	2	0.5
77	0.6	2	0.4
77	0.7	2	0.3
77	0.8	2	0.2
77	0.9	2	0.1
77	1	2	0
-56	0.72	-83	0.28
-32	0.7	-37	0.3
-46	0.05	-44	0.95
-46	0.17	-64	0.83
-38	0.76	-99	0.24
-99	0.42	-37	0.58
-48	0.28	-74	0.72
-52	0.8	-93	0.2
-33	0.77	-30	0.23
-15	0.44	-62	0.56
0	0.46	-97	0.54
-58	0.86	-97	0.14
-12	0.17	-69	0.83
-30	0.47	-61	0.53
-100	0.55	-28	0.45
-63	0.25	-30	0.75
-17	0.26	-43	0.74
-42	0.93	-30	0.07
-57	0.76	-28	0.24
-48	0.77	-34	0.23
-42	0.17	-70	0.83
-97	0.78	-34	0.22
-15	0.64	-80	0.36
-7	0.34	-63	0.66
-46	0.04	-58	0.96
24	0.73	-83	0.27
38	0.91	-73	0.09
93	0.35	-85	0.65
23	0.87	-39	0.13
71	0.5	-26	0.5
13	0.98	-69	0.02
8	0.3	-37	0.7
15	0.53	-73	0.47
16	0.11	-48	0.89
26	0.36	-48	0.64
86	0.2	-88	0.8
75	0.67	-7	0.33
9	0.27	-67	0.73
96	0.87	-89	0.13
74	0.68	-2	0.32
96	0.6	-40	0.4
99	0.52	-13	0.48
46	0.32	-89	0.68
31	0.4	-39	0.6
14	0.2	-86	0.8
83	0.12	-69	0.88
84	0.51	-60	0.49
19	0.22	-18	0.78
63	0.96	-4	0.04
46	0.86	-76	0.14
0	0.5	0	0.5
0	0.5	0	0.5
0	0.5	0	0.5
0	0.5	0	0.5
0	0.5	0	0.5
0	0.5	0	0.5
